sweep,scenario,propulsion,rho,mu,L,freq,speed,Re
mu,bacteria,Flagella,1000.0,4.4214999073744865,5e-06,100.0,0.00011999833493137047,1.3569867403053528e-07
mu,bacteria,Flagella,1000.0,5.422221006501592,5e-06,100.0,0.0001199986354536442,1.1065450422415292e-07
mu,bacteria,Flagella,1000.0,6.649435996665045,5e-06,100.0,0.00011999888051361651,9.023237502684492e-08
mu,bacteria,Flagella,1000.0,8.15440739518517,5e-06,100.0,0.00011999908034843187,7.357927715218534e-08
mu,bacteria,Flagella,1000.0,10.0,5e-06,100.0,0.00011999924330075018,5.99996216503751e-08
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.1,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.11689518164985782,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.13664483492953255,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.15973122800602543,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.18671810912919196,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.21826447283974873,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.25514065200312885,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.2982471286216891,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.3486365227678085,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.4075392965871777,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.47639380104013407,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.556881399094527,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.6509675230458171,1.3322676295501878e-15,6.661338147750939e-15
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.7609496685459878,3.9968028886505635e-15,1.998401444325282e-14
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,0.8895134973108234,3.9968028886505635e-15,1.998401444325282e-14
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,1.03979841848149,6.661338147750939e-15,3.33066907387547e-14
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,1.2154742500762865,6.661338147750939e-15,3.33066907387547e-14
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,1.4208308325339223,1.199040866595169e-14,5.995204332975845e-14
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,1.6608827826277157,1.4654943925052066e-14,7.327471962526033e-14
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,1.9414919457438806,1.9984014443252818e-14,9.992007221626409e-14
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,2.2695105366946686,2.7977620220553945e-14,1.3988810110276972e-13
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,2.652948464431896,3.863576125695545e-14,1.9317880628477726e-13
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,3.1011689265747786,5.1958437552457326e-14,2.597921877622867e-13
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,3.6251170499885332,7.061018436615996e-14,3.530509218307998e-13
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,4.237587160604064,9.459100169806334e-14,4.729550084903168e-13
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,4.9535352089591695,1.2922996006636822e-13,6.461498003318411e-13
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,5.790443980602486,1.7719159473017498e-13,8.859579736508749e-13
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,6.768750009458534,2.438049762076844e-13,1.2190248810384219e-12
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,7.912342618981323,3.3173463975799677e-13,1.658673198789984e-12
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,9.249147277217336,4.5430326167661406e-13,2.2715163083830703e-12
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,10.811807510766078,6.195044477408373e-13,3.0975222387041867e-12
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,12.638482029342985,8.486544800234697e-13,4.243272400117349e-12
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,14.773776525985111,1.1577405700791132e-12,5.788702850395567e-12
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,17.269832906594342,1.581401676276073e-12,7.907008381380365e-12
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,20.187602546790387,2.162270362759955e-12,1.0811351813799776e-11
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,23.598334667821938,2.9536373347127665e-12,1.4768186673563832e-11
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,27.58531617629184,4.038103185166619e-12,2.0190515925833097e-11
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,32.245905452963946,5.516920253967328e-12,2.758460126983664e-11
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,37.693909753883595,7.536637980365413e-12,3.7683189901827063e-11
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,44.06236427773573,1.0299761044052502e-11,5.149880522026251e-11
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,51.50678076168122,1.4075407506197735e-11,7.037703753098869e-11
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,60.208944933361316,1.923128323255696e-11,9.615641616278481e-11
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,70.38135554931554,2.6278978992877455e-11,1.3139489496438728e-10
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,82.27241341700466,3.590860941926621e-11,1.7954304709633107e-10
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,96.17248711152965,4.906874906396297e-11,2.4534374531981484e-10
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,112.42100350620862,6.70490329923723e-11,3.3524516496186157e-10
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,131.41473626117568,9.161871261653687e-11,4.580935630826844e-10
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,153.6174946671828,1.251918568812016e-10,6.25959284406008e-10
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,179.5714494371641,1.7106982497239187e-10,8.553491248619594e-10
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,209.91037201085547,2.337583460132464e-10,1.168791730066232e-09
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,245.37511066398167,3.194178255228053e-10,1.5970891276140264e-09
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,286.83168133420116,4.364681949198257e-10,2.182340974599129e-09
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,335.29241492495566,5.964122529178439e-10,2.9820612645892197e-09
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,391.94067748472213,8.149654284750341e-10,4.074827142375171e-09
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,458.1597669054491,1.1136092048502633e-09,5.568046024251317e-09
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,535.5666917706897,1.521688108852004e-09,7.60844054426002e-09
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,626.0516572014822,2.079308725200235e-09,1.0396543626001176e-08
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,731.8242219076174,2.8412645569630968e-09,1.4206322784815484e-08
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,855.4672535565685,3.882439703062346e-09,1.941219851531173e-08
freq@Water,bacteria,Fin,1000.0,0.001,5e-06,1000.0,5.305149652912178e-09,2.652574826456089e-08
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.1,1.199927637252074e-07,5.99963818626037e-07
freq@Water,bacteria,Flagella,1000.0,0.001,5e-06,0.11689518164985782,1.4026433747815759e-07,7.01321687390788e-07
